month,year,gov_gov_gold,gov_gov_matcf,gov_gov_matcp,gov_gov_vercf,gov_gov_vercp,gov_ios_gold,gov_ios_matcf,gov_ios_matcp,gov_ios_vercf,gov_ios_vercp,gov_opp_gold,gov_opp_matcf,gov_opp_matcp,gov_opp_vercf,gov_opp_vercp,gov_par_matcp,gov_par_vercf,gov_soc_matcp,gov_soc_vercf,gov_sta_matcp,gov_sta_vercf,gov_usa_gold,gov_usa_matcf,gov_usa_matcp,gov_usa_vercf,gov_usa_vercp,ios_gov_gold,ios_opp_gold,ios_soc_gold,opp_gov_gold,opp_gov_matcp,opp_gov_vercf,opp_gov_vercp,opp_ios_gold,opp_ios_matcp,opp_ios_vercf,opp_ios_vercp,opp_opp_gold,opp_opp_matcp,opp_opp_vercf,opp_opp_vercp,opp_par_gold,opp_par_matcf,opp_par_vercp,opp_soc_gold,opp_soc_matcf,opp_soc_vercp,opp_sta_gold,opp_sta_matcf,opp_sta_vercp,opp_usa_gold,opp_usa_matcp,opp_usa_vercf,opp_usa_vercp,par_opp_gold,par_par_gold,par_sta_gold,par_usa_gold,soc_gov_gold,soc_ios_gold,soc_soc_gold,soc_sta_gold,soc_usa_gold,sta_gov_gold,sta_opp_gold,sta_par_gold,sta_soc_gold,usa_gov_gold
5.0,1998.0,91.3,35.0,30.0,34.0,127.0,3.4,0.0,1.0,4.0,3.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,9.0,19.0,25.0,-10.5,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,2.4,0.0,0.0,-117.9,0.0,0.0,7.0,-17.2
6.0,1998.0,298.1,8.0,6.0,15.0,127.0,23.4,0.0,2.0,1.0,3.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,10.0,9.0,8.0,0.0,0.0,0.0,1.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,6.8,6.0,0.0,182.1,0.0,0.0,0.0,10.0
7.0,1998.0,239.5,6.0,15.0,23.0,115.0,7.8,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,11.0,42.5,0.0,0.0,2.0,18.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1,5.2,0.0,4.0,0.0,244.2,0.0,0.0,-14.6,54.5
8.0,1998.0,286.4,8.0,9.0,16.0,142.0,23.5,0.0,1.0,1.0,7.0,25.2,1.0,1.0,0.0,6.0,2.0,2.0,3.0,6.0,17.0,16.0,16.3,1.0,0.0,0.0,8.0,9.1,0.0,0.0,-15.1,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.2,0.0,0.4,0.0,0.0,256.6,0.0,0.0,0.8,-2.0
9.0,1998.0,197.5,12.0,12.0,33.0,126.0,16.6,0.0,0.0,1.0,5.0,13.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0,8.0,14.0,9.0,-4.6,0.0,0.0,1.0,1.0,15.0,0.0,0.0,26.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.6,0.0,16.7,3.4,0.0,242.7,0.0,0.0,-11.5,2.8
10.0,1998.0,19.9,24.0,10.0,16.0,98.0,13.8,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,9.0,15.0,14.0,30.4,0.0,0.0,1.0,6.0,17.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.8,6.8,0.0,110.6,0.0,0.0,0.0,20.8
11.0,1998.0,429.2,9.0,20.0,15.0,179.0,5.6,1.0,2.0,1.0,4.0,11.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,19.0,17.0,32.4,0.0,1.0,1.0,5.0,4.6,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,14.3,0.0,0.0,179.2,0.0,0.0,0.8,48.4
12.0,1998.0,126.9,19.0,8.0,11.0,100.0,2.2,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,17.0,18.0,2.2,0.0,0.0,2.0,3.0,9.9,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5,0.0,43.1,0.0,0.0,2.8,0.0,-52.9,0.0,0.0,1.9,17.2
1.0,1999.0,181.3,19.0,18.0,19.0,153.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,41.0,24.0,0.0,0.0,0.0,0.0,1.0,15.8,0.0,3.8,-8.6,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.4,0.6,16.0,1.8,0.0,-54.3,0.0,1.0,2.3,5.0
2.0,1999.0,326.2,23.0,13.0,22.0,177.0,80.1,0.0,1.0,5.0,25.0,-8.5,1.0,0.0,2.0,3.0,0.0,2.0,6.0,6.0,17.0,33.0,20.3,0.0,1.0,0.0,4.0,92.8,0.0,0.0,-10.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,1.0,0.0,0.0,68.1,0.0,21.8,-2.6,0.0,267.4,3.4,0.0,0.4,9.4
